PMID,First_author,Year,Record.no,Group.ID,Group.name,Sample.size,GMT,GMT_ll,GMT_ul,Time,Immunity.type,Tested.variant,Age.group,Assay,logGMT,sd_logGMT
34855510,C. J. Reynolds,2022,10,A,2*BNT162b2 convalescents,17,3618.3,384.1691281,34078.98744,137,2*mRNA convalescents,Alpha,Adults,MNT,8.193759581,1.1442228
34855510,C. J. Reynolds,2022,15,A,2*BNT162b2 convalescents,24,11236.1,1663.618276,75888.76909,20,2*mRNA convalescents,Beta,Adults,MNT,9.326887088,0.97455964
34855510,C. J. Reynolds,2022,16,A,2*BNT162b2 convalescents,17,625.2,11.44187366,34161.80353,137,2*mRNA convalescents,Beta,Adults,MNT,6.438071599,2.041220329
34855510,C. J. Reynolds,2022,21,A,2*BNT162b2 convalescents,24,6399.5,437.659787,93574.05333,20,2*mRNA convalescents,Gamma,Adults,MNT,8.763975141,1.368639426
34855510,C. J. Reynolds,2022,22,A,2*BNT162b2 convalescents,17,1057.2,160.0614045,6982.769165,137,2*mRNA convalescents,Gamma,Adults,MNT,6.963379183,0.963174318
34855510,C. J. Reynolds,2022,27,A,2*BNT162b2 convalescents,24,2090.8,69.22969994,63144.06452,20,2*mRNA convalescents,Delta,Adults,MNT,7.645302047,1.738710248
34855510,C. J. Reynolds,2022,28,A,2*BNT162b2 convalescents,17,396.1,10.47988006,14971.08833,137,2*mRNA convalescents,Delta,Adults,MNT,5.981666705,1.853168097
36188435,Y. Zhang,2022,2,A,3*CoronaVac,46,29.6,23.1,37.8,7,3*Inactivated,Ancestral,Adults,MNT,3.387774361,0.125631756
36188435,Y. Zhang,2022,3,A,3*CoronaVac,46,75.4,61.4,92.5,14,3*Inactivated,Ancestral,Adults,MNT,4.322807275,0.104540513
36188435,Y. Zhang,2022,4,A,3*CoronaVac,46,63.1,52.6,75.7,28,3*Inactivated,Ancestral,Adults,MNT,4.14472077,0.09287297
36188435,Y. Zhang,2022,5,A,3*CoronaVac,46,18.5,14.9,22.9,90,3*Inactivated,Ancestral,Adults,MNT,2.917770732,0.109636658
36188435,Y. Zhang,2022,7,A,3*CoronaVac,46,15.5,11.6,20.7,7,3*Inactivated,Delta,Adults,MNT,2.740840024,0.147736888
36188435,Y. Zhang,2022,8,A,3*CoronaVac,46,54.3,42.4,69.4,14,3*Inactivated,Delta,Adults,MNT,3.994524227,0.125698598
36188435,Y. Zhang,2022,9,A,3*CoronaVac,46,52.7,41.4,67.1,28,3*Inactivated,Delta,Adults,MNT,3.964615456,0.123189582
36188435,Y. Zhang,2022,10,A,3*CoronaVac,46,20,14.8,27.2,90,3*Inactivated,Delta,Adults,MNT,2.995732274,0.155252498
36188435,Y. Zhang,2022,12,A,3*CoronaVac,46,4.5,4,5,7,3*Inactivated,Omicron,Adults,MNT,1.504077397,0.056924375
36188435,Y. Zhang,2022,13,A,3*CoronaVac,46,8.1,6.1,10.7,14,3*Inactivated,Omicron,Adults,MNT,2.091864062,0.14335586
36188435,Y. Zhang,2022,14,A,3*CoronaVac,46,6.4,5,8.2,28,3*Inactivated,Omicron,Adults,MNT,1.85629799,0.126198021
36188435,Y. Zhang,2022,15,A,3*CoronaVac,46,4.7,4.1,5.5,90,3*Inactivated,Omicron,Adults,MNT,1.547562509,0.074939061
36016125,S. G. Parisi,2022,1,A,2*BNT162b2 convalescents,31,1599.823553,410.7112912,6231.71424,22,2*mRNA convalescents,Ancestral,Adults,MNT,7.377648623,0.693754138
36016125,S. G. Parisi,2022,2,A,2*BNT162b2 convalescents,45,784.6347768,167.7722512,3669.56829,92,2*mRNA convalescents,Ancestral,Adults,MNT,6.665218357,0.787046401
35723273,R. S. G. Sablerolles,2022,2,A,2*Ad26.COV2.S,85,614,429.3,878.1,28,Non-replicating viral vector booster,Ancestral,Adults,PRNT,6.419994928,0.18255217
35723273,R. S. G. Sablerolles,2022,3,A,2*Ad26.COV2.S,85,293.1,215.9,397.8,180,Non-replicating viral vector booster,Ancestral,Adults,PRNT,5.680513848,0.155901538
35723273,R. S. G. Sablerolles,2022,5,B,1*Ad26.COV2.S+1*mRNA-1273,93,5686,3618,8935,28,Heterologous booster,Ancestral,Adults,PRNT,8.645762292,0.230626215
35723273,R. S. G. Sablerolles,2022,6,B,1*Ad26.COV2.S+1*mRNA-1273,93,821.8,355.9,1898,180,Heterologous booster,Ancestral,Adults,PRNT,6.711497056,0.427016884
35480625,G. Mantus,2022,1,A,2*BNT162b2 convalescents,26,3792.2,902.5828919,15932.91981,30,2*mRNA convalescents,Ancestral,Adults,FRNT,8.240701605,0.732367894
35480625,G. Mantus,2022,2,A,2*BNT162b2 convalescents,26,629.3,39.60968353,9998.022066,180,2*mRNA convalescents,Ancestral,Adults,FRNT,6.444608091,1.410986974
35480625,G. Mantus,2022,3,B,2*mRNA-1273 convalescents,14,4883.6,1830.086235,13031.92631,30,2*mRNA convalescents,Ancestral,Adults,FRNT,8.493637932,0.500775288
35480625,G. Mantus,2022,4,B,2*mRNA-1273 convalescents,14,935.8,194.3146342,4506.719958,180,2*mRNA convalescents,Ancestral,Adults,FRNT,6.841401778,0.802001585
